Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,1,20,9,5,1,8,0,3,30,1,14
G:\大三 Amjed\tut11\新建文件夹,1,20,9,5,1,8,0,3,30,1,14
