Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,10,283,176,138,4,95,1,12,53,1,14
G:\大三 Amjed\tut11\TutorialFiles_git (2),10,283,176,138,4,95,1,12,53,1,14
G:\大三 Amjed\tut11\TutorialFiles_git (2)\TutorialFiles_git Tutorial,10,283,176,138,4,95,1,12,53,1,14
