File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
G:\大三 Amjed\tut11\TutorialFiles_git (2)\TutorialFiles_git Tutorial\HelloWorldInCpp.cpp,main(),3,3,3,1,0,0,0,0,
G:\大三 Amjed\tut11\TutorialFiles_git (2)\TutorialFiles_git Tutorial\HelloWorldInCpp1.cpp,main(),3,3,3,1,0,0,0,0,
G:\大三 Amjed\tut11\TutorialFiles_git (2)\TutorialFiles_git Tutorial\HelloWorldInCpp2.cpp,main(),3,3,3,1,0,0,0,0,
