File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
G:\大三 Amjed\tut11\jdepend-master\test\jdepend\framework\FileManagerTest.java,101,71,52,0,26,0,4,11,0,0
G:\大三 Amjed\tut11\jdepend-master\test\jdepend\framework\FilterTest.java,71,52,43,0,15,0,4,11,0,0
G:\大三 Amjed\tut11\jdepend-master\test\jdepend\framework\JarFileParserTest.java,135,89,70,0,42,0,4,11,0,0
G:\大三 Amjed\tut11\jdepend-master\test\jdepend\framework\JDependTestCase.java,64,45,34,6,15,0,4,11,0,0
G:\大三 Amjed\tut11\jdepend-master\test\jdepend\framework\MetricTest.java,140,101,88,1,35,0,4,11,0,0
G:\大三 Amjed\tut11\jdepend-master\test\jdepend\framework\ProfilingHarness.java,21,16,12,2,5,0,0,0,0,0
G:\大三 Amjed\tut11\jdepend-master\test\jdepend\framework\PropertyConfiguratorTest.java,67,46,38,0,17,0,4,11,0,0
G:\大三 Amjed\tut11\jdepend-master\test\jdepend\framework\p1\ExampleInnerAnnotation.java,8,4,4,0,4,0,0,0,0,0
G:\大三 Amjed\tut11\jdepend-master\test\jdepend\framework\p2\ExampleEnum.java,7,5,2,0,2,0,0,0,0,0
G:\大三 Amjed\tut11\jdepend-master\test\jdepend\framework\p3\ExampleSecondEnum.java,6,4,2,0,2,0,0,0,0,0
